Category,Prompt,Emotion1,Emotion2,Emotion3,Emotion4,Emotion5
Ambiente,Habla sobre el cambio climático y sus efectos en tu país,Preocupado,Optimista,Indignado,Neutral,Esperanzado
Ambiente,Discute el impacto de las energías renovables en 2025,Entusiasmado,Escéptico,Apoyo,Cauteloso,Inspirado
Ambiente,Describe cómo la deforestación afecta la biodiversidad global,Triste,Alarmado,Determinado,Reflexivo,Urgente
Ambiente,Explica el rol de las ciudades sostenibles en el futuro,Visionario,Práctico,Creativo,Crítico,Positivo
Ambiente,Habla sobre el reciclaje y su importancia en la vida diaria,Motivado,Frustrado,Educativo,Consciente,Comprometido
Ambiente,Analiza los efectos del plástico en los océanos,Indignado,Preocupado,Accionable,Informado,Esperanzado
Ambiente,Describe avances en tecnología verde para 2025,Excitado,Curioso,Optimista,Realista,Innovador
Ambiente,Discute la conservación de especies en peligro de extinción,Apasionado,Triste,Urgente,Comprometido,Reflexivo
Ambiente,Explica cómo el consumo responsable puede cambiar el mundo,Empoderado,Práctico,Motivado,Cauteloso,Inspirado
Ambiente,Habla sobre desastres naturales y preparación comunitaria,Alarmado,Preparado,Unido,Reflexivo,Resiliente
Educación,Describe el impacto de la tecnología en la educación moderna,Entusiasmado,Escéptico,Crítico,Apoyo,Curioso
Educación,Habla sobre el aprendizaje en línea en la era post-pandemia,Adaptable,Frustrado,Innovador,Práctico,Optimista
Educación,Discute la importancia de la educación financiera en escuelas,Esencial,Urgente,Práctico,Motivado,Crítico
Educación,Explica cómo la IA está transformando las aulas en 2025,Fascinado,Cauteloso,Excitado,Transformador,Reflexivo
Educación,Describe el rol de los maestros en el desarrollo personal,Grato,Inspirado,Respetuoso,Emocional,Valorativo
Educación,Analiza los desafíos de la educación inclusiva,Comprometido,Frustrado,Empático,Determinado,Esperanzado
Educación,Habla sobre el aprendizaje continuo en la adultez,Motivado,Reflexivo,Práctico,Curioso,Enriquecedor
Educación,Discute el impacto de las redes sociales en el aprendizaje juvenil,Crítico,Preocupado,Balanceado,Informado,Adaptable
Educación,Explica avances en educación virtual reality,Excitado,Innovador,Visionario,Cauteloso,Futurista
Educación,Describe cómo la gamificación mejora el engagement estudiantil,Divertido,Entusiasmado,Efectivo,Creativo,Práctico
Salud,Discute la importancia de una dieta equilibrada,Motivado,Relajado,Precaucionario,Inspirado,Indiferente
Salud,Habla sobre el ejercicio regular en un mundo sedentario,Energético,Determinado,Saludable,Frustrado,Motivado
Salud,Explica el impacto de la salud mental en 2025,Consciente,Empático,Urgente,Reflexivo,Apoyo
Salud,Describe avances en medicina personalizada,Optimista,Fascinado,Cauteloso,Innovador,Esperanzado
Salud,Analiza los efectos del sueño en el rendimiento diario,Importante,Relajado,Precaucionario,Informado,Mejorador
Salud,Habla sobre vacunación y salud pública post-COVID,Crítico,Preocupado,Apoyo,Determinado,Informado
Salud,Discute el rol de la tecnología wearable en el bienestar,Entusiasmado,Práctico,Curioso,Escéptico,Beneficioso
Salud,Explica cómo el estrés afecta la salud física,Alarmado,Reflexivo,Gestionable,Empático,Preventivo
Salud,Describe beneficios de la meditación diaria,Calmado,Inspirado,Práctico,Positivo,Relajado
Salud,Analiza tendencias en nutrición vegana,Interesado,Crítico,Saludable,Motivado,Explorador
Tecnología,Explica los beneficios y riesgos de la inteligencia artificial,Fascinado,Cauteloso,Excitado,Pesimista,Realista
Tecnología,Habla sobre el metaverso y su futuro en 2025,Visionario,Escéptico,Entusiasmado,Crítico,Futurista
Tecnología,Discute la ciberseguridad en un mundo conectado,Preocupado,Importante,Urgente,Informado,Protector
Tecnología,Describe avances en vehículos eléctricos,Optimista,Innovador,Ecológico,Práctico,Excitado
Tecnología,Analiza el impacto de las redes sociales en la sociedad,Crítico,Reflexivo,Adictivo,Social,Balanceado
Tecnología,Explica la computación cuántica y sus aplicaciones,Fascinado,Complejo,Visionario,Curioso,Revolucionario
Tecnología,Habla sobre el trabajo remoto y herramientas digitales,Adaptable,Productivo,Desafiante,Conveniente,Moderno
Tecnología,Discute la ética en el desarrollo de IA,Preocupado,Reflexivo,Importante,Crítico,Ético
Tecnología,Describe wearables y salud en 2025,Entusiasmado,Práctico,Beneficioso,Cauteloso,Innovador
Tecnología,Analiza el blockchain más allá de las criptomonedas,Interesado,Seguro,Transformador,Escéptico,Potencial
Viajes,Narra una experiencia de viaje memorable,Aventurero,Nostálgico,Grato,Sorprendido,Reflexivo
Viajes,Habla sobre turismo sostenible en 2025,Consciente,Ecológico,Responsable,Optimista,Crítico
Viajes,Describe destinos emergentes para viajeros,Excitado,Curioso,Aventurero,Inspirado,Explorador
Viajes,Discute el impacto de la tecnología en los viajes,Conveniente,Innovador,Práctico,Escéptico,Transformador
Viajes,Explica cómo planificar un viaje económico,Motivado,Práctico,Estratégico,Ahorro,Entusiasmado
Viajes,Analiza el turismo espacial y su accesibilidad,Futurista,Fascinado,Excitado,Cauteloso,Ambicioso
Viajes,Habla sobre viajes culturales y aprendizaje,Enriquecedor,Reflexivo,Curioso,Abierto,Inspirado
Viajes,Describe aventuras en la naturaleza,Aventurero,Relajado,Energético,Grato,Conectado
Viajes,Discute desafíos de viajar post-pandemia,Adaptable,Precaucionario,Resiliente,Optimista,Informado
Viajes,Explica el rol de las apps en experiencias de viaje,Útil,Práctico,Innovador,Dependiente,Mejorador
Deportes,Habla sobre el impacto de los e-sports en 2025,Entusiasmado,Competitivo,Innovador,Escéptico,Futurista
Deportes,Discute la importancia del fitness en la vida diaria,Motivado,Energético,Saludable,Determinado,Práctico
Deportes,Describe tu equipo deportivo favorito y por qué,Apasionado,Loyal,Emocional,Orgulloso,Nostálgico
Deportes,Analiza el rol de la tecnología en el deporte profesional,Innovador,Crítico,Beneficioso,Cauteloso,Transformador
Deportes,Explica cómo el deporte une comunidades,Unido,Inspirado,Social,Positivo,Comunitario
Deportes,Habla sobre mujeres en deportes masculinos dominados,Empoderado,Crítico,Apoyo,Determinado,Inspirado
Deportes,Discute los Juegos Olímpicos de 2024 y expectativas para 2028,Excitado,Reflexivo,Orgulloso,Crítico,Esperanzado
Deportes,Describe beneficios mentales del deporte,Relajado,Motivado,Resiliente,Positivo,Enfocado
Deportes,Analiza el negocio detrás de los deportes,Interesado,Crítico,Lucrativo,Estratégico,Comercial
Deportes,Explica cómo empezar un nuevo deporte en la adultez,Entusiasmado,Desafiante,Aprendiz,Práctico,Motivado
Finanzas Personales,Habla sobre inversión en criptomonedas en 2025,Cauteloso,Excitado,Riesgoso,Informado,Optimista
Finanzas Personales,Discute el ahorro para la jubilación,Motivado,Práctico,Precaucionario,Reflexivo,Seguro
Finanzas Personales,Describe cómo manejar deudas efectivamente,Estratégico,Aliviado,Determinado,Crítico,Controlado
Finanzas Personales,Analiza el impacto de la inflación en presupuestos,Preocupado,Adaptable,Informado,Realista,Urgente
Finanzas Personales,Explica beneficios de un fondo de emergencia,Seguro,Práctico,Precaucionario,Motivado,Esencial
Finanzas Personales,Habla sobre inversión en acciones para principiantes,Curioso,Entusiasmado,Riesgoso,Aprendiz,Optimista
Finanzas Personales,Discute el minimalismo y finanzas,Simplificado,Liberador,Práctico,Reflexivo,Consciente
Finanzas Personales,Describe apps para rastrear gastos,Útil,Práctico,Tecnológico,Controlado,Eficiente
Finanzas Personales,Analiza el side hustle en la economía gig,Motivado,Emprendedor,Desafiante,Creativo,Lucrativo
Finanzas Personales,Explica planificación financiera para familia,Responsable,Práctico,Familiar,Seguro,Comprometido
Cultura Pop,Habla sobre series de streaming favoritas en 2025,Entusiasmado,Nostálgico,Crítico,Adictivo,Divertido
Cultura Pop,Discute el impacto de TikTok en la cultura,Influencial,Crítico,Creativo,Adictivo,Social
Cultura Pop,Describe músicos emergentes a seguir,Excitado,Descubridor,Inspirado,Curioso,Fanático
Cultura Pop,Analiza películas de superhéroes post-2020,Entusiasmado,Crítico,Saturado,Reflexivo,Escéptico
Cultura Pop,Explica el fenómeno de los memes,Divertido,Social,Viral,Creativo,Irónico
Cultura Pop,Habla sobre videojuegos y su evolución,Gamer,Nostálgico,Innovador,Adictivo,Interactivo
Cultura Pop,Discute celebridades y redes sociales,Influencial,Crítico,Admirado,Escandaloso,Entretenido
Cultura Pop,Describe comics y adaptaciones,Apasionado,Creativo,Visual,Fanático,Imaginativo
Cultura Pop,Analiza el K-pop global,Fanático,Energético,Cultural,Excitado,Inclusivo
Cultura Pop,Explica podcasts y aprendizaje,Informado,Curioso,Educativo,Relajado,Inspirado
Carrera Profesional,Habla sobre equilibrio trabajo-vida,Balanceado,Reflexivo,Importante,Estresado,Armonioso
Carrera Profesional,Discute el remote work en 2025,Adaptable,Productivo,Conveniente,Desafiante,Moderno
Carrera Profesional,Describe cómo avanzar en tu carrera,Motivado,Estratégico,Ambicioso,Determinado,Reflexivo
